Date,Adj Close,Close,High,Low,Open,Volume
2020-12-15,9.5,9.5,9.5,9.5,9.5,0
2020-12-16,9.5,9.5,9.5,9.5,9.5,0
2020-12-17,9.5,9.5,9.5,9.5,9.5,0
2020-12-18,9.5,9.5,9.5,9.5,9.5,0
2020-12-21,9.5,9.5,9.5,9.5,9.5,0
2020-12-22,9.5,9.5,9.5,9.5,9.5,0
2020-12-23,9.5,9.5,9.5,9.5,9.5,0
2020-12-24,9.5,9.5,9.5,9.5,9.5,0
2020-12-29,9.5,9.5,9.5,9.5,9.5,0
2020-12-30,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,70
2020-12-31,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0
2021-01-04,9.90999984741211,9.90999984741211,9.90999984741211,9.899999618530273,9.899999618530273,201
2021-01-05,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,51
2021-01-06,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,0
2021-01-07,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,200
2021-01-08,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,0
2021-01-11,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,120
2021-01-12,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,0
2021-01-13,9.5,9.5,9.5,9.5,9.5,307
2021-01-14,9.5,9.5,9.5,9.5,9.5,0
2021-01-15,9.5,9.5,9.5,9.5,9.5,0
2021-01-18,9.5,9.5,9.5,9.5,9.5,0
2021-01-19,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,101
2021-01-20,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,0
2021-01-21,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,0
2021-01-22,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,0
